# Sandbox Data | Context: 101 | Index: 2 | Label: Sim {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-100 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.024801	1.067632
0.049207	1.078475
0.073220	1.088729
0.096844	1.098290
0.120082	1.107184
0.142938	1.115415
0.165415	1.122992
0.187519	1.129927
0.209253	1.136229
0.230623	1.141911
0.251634	1.146986
0.272291	1.151469
0.292599	1.155374
0.312565	1.158720
0.332192	1.161521
0.351489	1.163796
0.370459	1.165562
0.389109	1.166837
0.407444	1.167639
0.425471	1.167986
0.443194	1.167896
0.460620	1.167388
0.477755	1.166478
0.494603	1.165185
0.511171	1.163525
0.527464	1.161516
0.543487	1.159175
0.559246	1.156516
0.574746	1.153558
0.589993	1.150313
0.604990	1.146798
0.619745	1.143027
0.634260	1.139015
0.648542	1.134773
0.662595	1.130316
0.676423	1.125657
0.690032	1.120807
0.703425	1.115777
0.716608	1.110580
0.729584	1.105226
0.742357	1.099726
0.754933	1.094088
0.767314	1.088324
0.779505	1.082441
0.791509	1.076448
0.803331	1.070355
0.814974	1.064167
0.826442	1.057895
0.837737	1.051543
0.848865	1.045120
0.859827	1.038632
0.870628	1.032084
0.881270	1.025484
0.891757	1.018837
0.902092	1.012147
0.912277	1.005420
0.922315	0.998661
0.932210	0.991875
0.941965	0.985065
0.951581	0.978237
0.961062	0.971393
0.970410	0.964538
0.979628	0.957674
0.988717	0.950806
0.997682	0.943937
1.006523	0.937069
1.015244	0.930205
1.023846	0.923348
1.032332	0.916500
1.040704	0.909664
1.048964	0.902841
1.057113	0.896035
1.065155	0.889247
1.073091	0.882478
1.080922	0.875731
1.088652	0.869007
1.096281	0.862307
1.103811	0.855633
1.111244	0.848987
1.118583	0.842369
1.125827	0.835781
1.132980	0.829224
1.140043	0.822699
1.147017	0.816206
1.153903	0.809747
1.160704	0.803322
1.167421	0.796933
1.174055	0.790579
1.180607	0.784262
1.187080	0.777981
1.193474	0.771739
1.199790	0.765534
1.206030	0.759368
1.212195	0.753240
1.218287	0.747152
1.224306	0.741103
1.230254	0.735094
1.236132	0.729125
1.241941	0.723196
1.247682	0.717308
1.253356	0.711460
1.258964	0.705653
1.264508	0.699886
1.269988	0.694161
1.275405	0.688476
1.280761	0.682833
1.286056	0.677230
1.291290	0.671668
1.296467	0.666147
1.301585	0.660667
1.306645	0.655228
1.311650	0.649829
1.316599	0.644471
1.321494	0.639154
1.326335	0.633877
1.331122	0.628640
1.335858	0.623443
1.340542	0.618287
1.345176	0.613170
1.349759	0.608092
1.354294	0.603055
1.358780	0.598056
1.363218	0.593097
1.367609	0.588176
1.371953	0.583295
1.376252	0.578451
1.380505	0.573646
1.384714	0.568879
1.388879	0.564150
1.393001	0.559459
1.397080	0.554804
1.401118	0.550187
1.405113	0.545607
1.409068	0.541063
1.412982	0.536556
1.416857	0.532084
1.420692	0.527649
1.424488	0.523249
1.428247	0.518885
1.431967	0.514555
1.435650	0.510261
1.439297	0.506001
1.442907	0.501775
1.446482	0.497584
1.450021	0.493426
1.453525	0.489302
1.456995	0.485211
1.460431	0.481153
1.463834	0.477127
1.467203	0.473135
1.470540	0.469174
1.473844	0.465245
1.477117	0.461348
1.480358	0.457483
1.483569	0.453649
1.486748	0.449845
1.489898	0.446072
1.493017	0.442330
1.496107	0.438618
1.499168	0.434935
1.502200	0.431283
1.505203	0.427659
1.508179	0.424065
1.511127	0.420500
1.514047	0.416963
1.516940	0.413455
1.519807	0.409975
1.522647	0.406522
1.525460	0.403098
1.528249	0.399700
1.531011	0.396330
1.533748	0.392987
1.536461	0.389671
1.539149	0.386381
1.541812	0.383117
1.544452	0.379879
1.547067	0.376668
1.549660	0.373481
1.552229	0.370320
1.554774	0.367184
1.557298	0.364073
1.559799	0.360987
1.562277	0.357924
1.564734	0.354887
1.567169	0.351873
1.569583	0.348883
1.571975	0.345916
1.574346	0.342973
1.576697	0.340054
1.579027	0.337157
1.581337	0.334282
1.583627	0.331431
1.585897	0.328602
1.588147	0.325794
1.590378	0.323009
1.592590	0.320246
1.594783	0.317504
1.596957	0.314784
1.599112	0.312084
1.601249	0.309406
1.603368	0.306748
1.605469	0.304112
1.607552	0.301495
1.609617	0.298899
1.611665	0.296323
1.613696	0.293767
1.615710	0.291230
1.617706	0.288714
1.619686	0.286216
1.621650	0.283738
1.623597	0.281279
1.625528	0.278838
1.627443	0.276417
1.629342	0.274014
1.631225	0.271629
1.633093	0.269262
1.634946	0.266914
1.636783	0.264583
1.638605	0.262271
1.640412	0.259975
1.642204	0.257698
1.643982	0.255437
1.645745	0.253194
1.647494	0.250968
1.649229	0.248758
1.650949	0.246565
1.652656	0.244389
1.654349	0.242229
1.656028	0.240086
1.657694	0.237958
1.659347	0.235847
1.660986	0.233751
1.662612	0.231671
1.664225	0.229607
1.665825	0.227558
1.667412	0.225524
1.668987	0.223506
1.670549	0.221503
1.672099	0.219514
1.673636	0.217541
1.675162	0.215582
1.676675	0.213637
1.678177	0.211707
1.679666	0.209791
1.681144	0.207890
1.682611	0.206002
1.684065	0.204129
1.685509	0.202269
1.686941	0.200423
1.688362	0.198591
1.689772	0.196772
1.691171	0.194966
1.692559	0.193174
1.693936	0.191395
1.695303	0.189629
1.696659	0.187875
1.698005	0.186135
1.699340	0.184407
1.700665	0.182692
1.701980	0.180989
1.703284	0.179299
1.704579	0.177621
1.705863	0.175956
1.707138	0.174302
1.708403	0.172660
1.709659	0.171031
1.710905	0.169413
1.712141	0.167806
1.713368	0.166212
1.714586	0.164629
1.715794	0.163057
1.716993	0.161497
1.718184	0.159947
1.719365	0.158409
1.720537	0.156882
1.721700	0.155366
1.722855	0.153861
1.724001	0.152367
1.725138	0.150883
1.726267	0.149410
1.727387	0.147948
1.728499	0.146496
1.729603	0.145054
1.730698	0.143623
1.731785	0.142202
1.732864	0.140790
1.733935	0.139389
1.734998	0.137998
1.736053	0.136617
1.737100	0.135246
1.738139	0.133884
1.739171	0.132532
1.740195	0.131190
1.741211	0.129857
1.742220	0.128533
1.743221	0.127219
1.744215	0.125914
1.745202	0.124618
1.746181	0.123332
1.747154	0.122054
1.748119	0.120786
1.749076	0.119526
1.750027	0.118275
1.750971	0.117033
1.751908	0.115800
1.752838	0.114575
1.753761	0.113359
1.754677	0.112152
1.755587	0.110953
1.756490	0.109762
1.757387	0.108580
1.758276	0.107406
1.759160	0.106240
1.760037	0.105082
1.760907	0.103932
1.761771	0.102791
1.762629	0.101657
1.763481	0.100531
1.764326	0.099413
1.765166	0.098303
1.765999	0.097201
1.766826	0.096106
1.767647	0.095018
1.768462	0.093939
1.769271	0.092866
1.770075	0.091802
1.770872	0.090744
1.771664	0.089694
1.772450	0.088651
1.773230	0.087616
1.774005	0.086587
1.774774	0.085566
1.775538	0.084552
1.776296	0.083544
1.777048	0.082544
1.777796	0.081550
1.778537	0.080564
1.779274	0.079584
1.780005	0.078611
1.780731	0.077645
1.781451	0.076685
1.782167	0.075732
1.782877	0.074785
1.783582	0.073845
1.784282	0.072912
1.784977	0.071984
1.785667	0.071064
1.786352	0.070149
1.787032	0.069241
1.787708	0.068339
1.788378	0.067443
1.789044	0.066553
1.789704	0.065670
1.790360	0.064792
1.791012	0.063921
1.791659	0.063055
1.792301	0.062195
1.792938	0.061342
1.793571	0.060494
1.794199	0.059652
1.794823	0.058815
1.795443	0.057985
1.796058	0.057160
1.796668	0.056340
1.797274	0.055527
1.797876	0.054718
1.798474	0.053916
1.799067	0.053119
1.799656	0.052327
1.800241	0.051540
1.800821	0.050759
1.801398	0.049984
1.801970	0.049213
1.802538	0.048448
1.803102	0.047688
1.803662	0.046934
1.804218	0.046184
1.804770	0.045440
1.805319	0.044700
1.805863	0.043966
1.806403	0.043237
1.806940	0.042512
1.807472	0.041793
1.808001	0.041078
1.808526	0.040368
1.809047	0.039664
1.809565	0.038963
1.810079	0.038268
1.810589	0.037578
1.811095	0.036892
1.811598	0.036211
1.812097	0.035534
1.812593	0.034862
1.813085	0.034195
1.813573	0.033532
1.814059	0.032874
1.814540	0.032220
